Doc Type|Doc No.|Mainterm|CAS RN or Other Code|Regnum
ASP|1620|ACACIA, GUM (ACACIA SENEGAL (L.) WILLD.)|9000-01-5|169.179,172.230,184.1330
EAF|3939|ACAI BERRY EXTRACT|879496-95-4|
ASP|2952|ACESULFAME POTASSIUM|55589-62-3|172.800
ASP|0001|ACETAL|105-57-7|172.515
ASP|0002|ACETALDEHYDE|75-07-0|177.2410,182.60
ASP|0003|ACETALDEHYDE, BUTYL PHENETHYL ACETAL|64577-91-9|
EAF|3775|ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL|63449-64-9|
EAF|3434|ACETALDEHYDE DIISOAMYL ACETAL|13002-09-0|
EAF|3919|ACETALDEHYDE DI-ISOBUTYLACETAL|5669-09-0|
EAF|2997|ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL|28069-74-1|
EAF|3920|ACETALDEHYDE ETHYL ISOBUTYL ACETAL|6986-51-2|
EAF|3825|(+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL|25334-93-4|
EAF|3761|ACETALDEHYDE HEXYL ISOAMYL ACETAL|233665-90-2|
EAF|3772|ACETALDEHYDE 1,3-OCTANEDIOL ACETAL|202188-43-0|
ASP|0004|ACETALDEHYDE PHENETHYL PROPYL ACETAL|7493-57-4|172.515
EAF|3648|ACETAMIDE|60-35-5|
ASP|0005|ACETANISOLE|100-06-1|172.515
ASP|1609|ACETIC ACID|64-19-7|133.123,133.124,133.169,133.173,133.178,133.179,172.814,173.370,184.1005,73.85
NUL|1621|ACETIC ANHYDRIDE|108-24-7|172.892
ASP|0006|ACETOIN|513-86-0|182.60
EAF|3924|ACETOIN PROPYLENEGLYCOL KETAL|94089-23-3|
EAF|3365|ALPHA-ACETOLACTATE DECARBOXYLASE ENZYME PREPARATION FROM BACILLUS SUBTILIS RECOMBINANT|977164-02-5|173.115
NUL|1622|ACETOLEIN|28060-90-4|
ASP|0007|ACETONE|67-64-1|173.210,175.105,175.320,176.180,176.300,177.2600,73.1,73.30,73.345,73.615
NIL|0008|ACETONE PEROXIDES|1336-17-0|137.105,172.802
ASP|0009|ACETOPHENONE|98-86-2|172.515
NUL|1623|ACETOSTEARIN|27177-85-1|
NIL|1624|6-ACETOXYDIHYDROTHEASPIRANE|72541-09-4|
EAF|3044|4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE|4166-20-5|
